"questID","start","end","note"
"136","I1357","","Vanilla Quest Override"
"138","","","Vanilla Quest Override"
"139","","","Vanilla Quest Override"
"140","","","Vanilla Quest Override"
"236","","","Vanilla Quest Override"
"595","U2490","","Vanilla Quest Override"
"597","","U2490","Vanilla Quest Override"
"624","I4056","","Vanilla Quest Override"
"625","","","Vanilla Quest Override"
"626","","","Vanilla Quest Override"
"635","I4614","","Vanilla Quest Override"
"636","","","Vanilla Quest Override"
"787","","","Vanilla Quest Override"
"807","","","Vanilla Quest Override"
"810","","","Vanilla Quest Override"
"811","","","Vanilla Quest Override"
"894","U3442","","Vanilla Quest Override"
"902","","U3442","Vanilla Quest Override"
"908","","","Vanilla Quest Override"
"909","","U12736","Vanilla Quest Override"
"960","","","Vanilla Quest Override"
"1157","","","Vanilla Quest Override"
"1158","","","Vanilla Quest Override"
"1190","U4630","","Vanilla Quest Override"
"1194","","U4630","Vanilla Quest Override"
"1289","","","Vanilla Quest Override"
"1318","","","Vanilla Quest Override"
"1390","","","Vanilla Quest Override"
"1392","","","Vanilla Quest Override"
"1393","U5391","","Vanilla Quest Override"
"2278","","","Vanilla Quest Override"
"2701","U7750","","Vanilla Quest Override"
"2945","I9326","","Vanilla Quest Override"
"2952","","","Vanilla Quest Override"
"2985","","U5901","Vanilla Quest Override"
"2986","","","Vanilla Quest Override"
"3366","","U8418","Vanilla Quest Override"
"3373","I10454","","Vanilla Quest Override"
"3446","U7771","","Vanilla Quest Override"
"3454","U8479","","Vanilla Quest Override"
"3481","","","Vanilla Quest Override"
"3482","I10590","","Vanilla Quest Override"
"3844","","","Vanilla Quest Override"
"3913","U9299","","Vanilla Quest Override"
"3914","","U8737","Vanilla Quest Override"
"4451","I11818","","Vanilla Quest Override"
"4605","","","Vanilla Quest Override"
"4606","","","Vanilla Quest Override"
"5021","U10778","","Vanilla Quest Override"
"5058","","","Vanilla Quest Override"
"5084","U9298","","Vanilla Quest Override"
"5085","","U9298","Vanilla Quest Override"
"5164","U10976","","Vanilla Quest Override"
"5265","U11034","","Vanilla Quest Override"
"5463","U11036","","Vanilla Quest Override"
"5464","","U11036","Vanilla Quest Override"
"5655","","U6018","Vanilla Quest Override"
"5656","","U6018","Vanilla Quest Override"
"5657","","U6018","Vanilla Quest Override"
"5659","","","Vanilla Quest Override"
"5661","","U4606","Vanilla Quest Override"
"5927","","U3033","Vanilla Quest Override"
"5942","U10926","","Vanilla Quest Override"
"6000","","","Vanilla Quest Override"
"6131","","","Vanilla Quest Override"
"6165","","","Vanilla Quest Override"
"7486","U13278","","Vanilla Quest Override"
"7761","I18987","","Vanilla Quest Override"
"7937","I19423","","Vanilla Quest Override"
"7938","I19424","","Vanilla Quest Override"
"7944","I19443","","Vanilla Quest Override"
"7945","I19452","","Vanilla Quest Override"
"8579","","","Vanilla Quest Override"
"8744","","","Vanilla Quest Override"
"8767","","","Vanilla Quest Override"
"8768","","","Vanilla Quest Override"
"8769","","","Vanilla Quest Override"
"8788","","","Vanilla Quest Override"
"8793","","","Vanilla Quest Override"
"8794","","","Vanilla Quest Override"
"8796","","U15701","Vanilla Quest Override"
"8797","","U15701","Vanilla Quest Override"
"8803","","","Vanilla Quest Override"
"9029","","","Vanilla Quest Override"
"9378","","","Vanilla Quest Override"
"20000","","U11034",""
"20006","","",""
"40274","","",""
"40298","","",""
"40371","","",""
"40372","","",""
"40373","","",""
"40374","","",""
"40375","","",""
"40376","","",""
"40377","","",""
"40378","","",""
"40379","","",""
"40380","","",""
"40381","","",""
"40383","","",""
"40384","","",""
"40385","","U60670",""
"40386","","U60677",""
"40392","","",""
"40393","","",""
"40394","","",""
"40749","I60989","",""
"40820","","",""
"40821","","",""
"40913","","",""
"41261","","",""
"41652","","U61641",""
"41734","I41802","",""
"41908","","",""
"41909","","",""
"41910","","U62986",""
"41911","U62986","",""
"41912","","",""
"41913","","",""
"41914","","",""
"41915","","",""
"41916","","",""
"41917","","",""
"41918","","",""
"41919","","",""
"41921","","",""
"41922","","",""
"41923","","",""
"41924","","",""
"41925","","",""
"41926","","",""
"41929","I42169","",""
"41948","O1000505","",""
"41949","","",""
"41950","I42222","",""
"41951","","",""
"41952","","",""
"41953","","",""
"41954","","",""
"41955","","",""
"42002","I42295","",""
"42003","","",""
"42004","","",""
"42005","","",""
"42036","U6768","",""
"50230","","",""
"50322","","U12480",""
"50323","","U14392",""
"50331","","U14392",""
"50332","","U12480",""
"55001","","",""
"55004","","",""
"55011","","",""
"55012","","",""
"55013","","",""
"55055","","",""
"60005","","",""
"60008","","",""
"60009","","",""
"60011","","",""
"60012","","",""
"60013","","",""
"60040","","",""
"60041","","",""
"60070","","",""
"60104","","",""
"60120","","",""
"60121","","",""
"60122","","",""
"70010","","",""
"70051","","",""
"80121","","",""
"80200","","",""
"80217","","",""
"80250","","",""
"80251","","",""
"80252","","",""
"80253","","",""
"80254","","",""
"80256","","",""
"80258","","",""
"80260","","",""
"80261","","",""
"80262","","",""
"80263","","",""
"80264","","",""
"80265","","",""
"80320","","",""
"80321","","",""
"80322","","",""
"80323","","",""
"80381","","",""
"80388","","",""
"80735","","",""
"80736","","",""
